Dataset,Shots,AugCL,APE,CoOp,CLIP-Adapter,Tip,Zeroshot
Caltech101,4,94.81,94.279919,92.221405,92.633108,93.868216,88.7
Caltech101,8,96.15,95.25355,92.232066,94.126895,94.229318,88.7
Caltech101,16,96.67,95.334686,94.310683,94.515483,95.027485,88.7
DTD,4,65.4846336,62.706856,51.652152,54.797024,55.27352,44.9
DTD,8,67.8486998,65.708381,57.862604,59.824049,61.785493,44.9
DTD,16,71.6312057,68.971631,63.788792,64.785492,66.380212,44.9
Food101,4,84.96039604,85.50165,78.322122,84.957747,85.066527,88.5
Food101,8,85.95049505,86.072607,77.55273,85.854149,85.74492,88.5
Food101,16,86.58745875,86.623762,81.720531,86.133439,86.405841,88.5
OxfordFlowers,4,92.57003654,91.676817,85.697894,86.694381,89.185599,70.1
OxfordFlowers,8,95.37149817,94.600081,91.096374,90.495739,91.496798,70.1
OxfordFlowers,16,97.15793747,95.412099,94.219448,93.225572,93.424347,70.1
OxfordPets,4,89.72472063,88.089398,86.596357,86.397285,86.795429,89.1
OxfordPets,8,92.12319433,89.424911,88.216467,88.518578,88.719985,89.1
OxfordPets,16,92.83183429,90.760425,87.943028,89.150484,90.257319,89.1
StanfordCars,4,73.69730133,75.873648,70.294703,69.681019,72.046492,64.8
StanfordCars,8,77.9380674,78.870787,75.538219,75.416025,76.926789,64.8
StanfordCars,16,82.5892302,83.12399,80.389648,80.947454,82.839618,64.8
UCF101,4,80.2273328,79.672218,75.437585,75.361187,76.998287,68.9
UCF101,8,83.02934179,82.606397,79.652261,80.199323,81.238741,68.9
UCF101,16,85.27623579,84.403912,80.688017,81.494897,82.843236,68.9
SUN397,4,72.60,72.962217,67.25213,69.747649,70.012005,64.2
SUN397,8,75.28,74.730479,69.25726,71.046582,72.488564,64.2
SUN397,16,76.91,75.914358,72.056073,72.525324,74.527461,64.2
EuroSat,4,77.14814815,75.160494,70.83977,73.73365,74.477217,52.2
EuroSat,8,83.85185185,75.814815,71.592455,73.121888,73.121888,52.2
EuroSat,16,86.82716049,79.45679,76.685042,78.006242,78.107873,52.2
FGVC,4,37.83378338,36.42,25.368414,28.369924,32.401241,24.6
FGVC,8,42.48424842,40.864086,31.71541,32.020366,36.850867,24.6
FGVC,16,46.26,45.994599,36.980582,37.096147,41.083116,24.6
ImageNet,4,69.97,71.304,66.81240945,69.43998992,70.20356031,68.3
ImageNet,8,71.26,72.85,69.36489198,70.4666358,71.95061728,68.3
ImageNet,16,72.60,73.76,70.30075643,70.95912859,73.10162784,68.3